FECHA,CASOS.NUEVOS.PCR.,POSITIVOS_LI,POSITIVOS_LS
2020-09-29,33,NA,NA
2020-09-30,44,NA,NA
2020-10-01,38,NA,NA
2020-10-02,64,NA,NA
2020-10-03,32,NA,NA
2020-10-04,61,NA,NA
2020-10-05,37,NA,NA
2020-10-06,43,NA,NA
2020-10-07,37,NA,NA
2020-10-08,30,NA,NA
2020-10-09,65,NA,NA
2020-10-10,70,NA,NA
2020-10-11,35,NA,NA
2020-10-12,45,NA,NA
2020-10-13,71,NA,NA
2020-10-14,58,NA,NA
2020-10-15,85,NA,NA
2020-10-16,100,NA,NA
2020-10-17,155,NA,NA
2020-10-18,48,NA,NA
2020-10-19,92,NA,NA
2020-10-20,157,NA,NA
2020-10-21,213,NA,NA
2020-10-22,114,NA,NA
2020-10-23,181,NA,NA
2020-10-24,174,NA,NA
2020-10-25,164,NA,NA
2020-10-26,132,NA,NA
2020-10-27,171,NA,NA
2020-10-28,198,NA,NA
2020-10-29,179,NA,NA
2020-10-30,166,NA,NA
2020-10-31,196,NA,NA
2020-11-01,146,NA,NA
2020-11-02,216,NA,NA
2020-11-03,236,NA,NA
2020-11-04,154,NA,NA
2020-11-05,308,NA,NA
2020-11-06,222,NA,NA
2020-11-07,180,NA,NA
2020-11-08,236,NA,NA
2020-11-09,221,NA,NA
2020-11-10,253,NA,NA
2020-11-11,258,NA,NA
2020-11-12,226,NA,NA
2020-11-13,204,NA,NA
2020-11-14,193,NA,NA
2020-11-15,130,NA,NA
2020-11-16,238,NA,NA
2020-11-17,277,NA,NA
2020-11-18,235,NA,NA
2020-11-19,161,NA,NA
2020-11-20,168,NA,NA
2020-11-21,151,NA,NA
2020-11-22,84,NA,NA
2020-11-23,133,NA,NA
2020-11-24,128,NA,NA
2020-11-25,119,NA,NA
2020-11-26,99,NA,NA
2020-11-27,128,NA,NA
2020-11-28,87,NA,NA
2020-11-29,89,NA,NA
2020-11-30,105,NA,NA
2020-12-01,198,NA,NA
2020-12-02,119,NA,NA
2020-12-03,151,NA,NA
2020-12-04,128,NA,NA
2020-12-05,128,NA,NA
2020-12-06,58,NA,NA
2020-12-07,73,NA,NA
2020-12-08,88,NA,NA
2020-12-09,44,NA,NA
2020-12-10,106,NA,NA
2020-12-11,75,NA,NA
2020-12-12,55,NA,NA
2020-12-13,81,NA,NA
2020-12-14,70,NA,NA
2020-12-15,84,NA,NA
2020-12-16,76,NA,NA
2020-12-17,75,NA,NA
2020-12-18,71,NA,NA
2020-12-19,32,NA,NA
2020-12-20,51,NA,NA
2020-12-21,62,NA,NA
2020-12-22,60,NA,NA
2020-12-23,74,NA,NA
2020-12-24,59,NA,NA
2020-12-25,67,NA,NA
2020-12-26,65,NA,NA
2020-12-27,73,NA,NA
2020-12-28,64,NA,NA
2020-12-29,112,NA,NA
2020-12-30,105,NA,NA
2020-12-31,42,NA,NA
2021-01-01,148,NA,NA
2021-01-02,107,NA,NA
2021-01-03,86,NA,NA
2021-01-04,123,NA,NA
2021-01-05,130,NA,NA
2021-01-06,141,NA,NA
2021-01-07,136,NA,NA
2021-01-08,112,NA,NA
2021-01-09,149,NA,NA
2021-01-10,118,NA,NA
2021-01-11,207,NA,NA
2021-01-12,127,NA,NA
2021-01-13,181,NA,NA
2021-01-14,136,NA,NA
2021-01-15,182,NA,NA
2021-01-16,149,NA,NA
2021-01-17,125,NA,NA
2021-01-18,118,NA,NA
2021-01-19,204,NA,NA
2021-01-20,206,NA,NA
2021-01-21,195,NA,NA
2021-01-22,195,NA,NA
2021-01-23,169,NA,NA
2021-01-24,97,NA,NA
2021-01-25,171,NA,NA
2021-01-26,128,NA,NA
2021-01-27,201,NA,NA
2021-01-28,151,NA,NA
2021-01-29,187,NA,NA
2021-01-30,122,NA,NA
2021-01-31,79,NA,NA
2021-02-01,140,NA,NA
2021-02-02,145,NA,NA
2021-02-03,113,NA,NA
2021-02-04,136,NA,NA
2021-02-05,87,NA,NA
2021-02-06,68,NA,NA
2021-02-07,58,NA,NA
2021-02-08,98,NA,NA
2021-02-09,95,NA,NA
2021-02-10,107,NA,NA
2021-02-11,60,NA,NA
2021-02-12,83,NA,NA
2021-02-13,13,NA,NA
2021-02-14,93,NA,NA
2021-02-15,100,NA,NA
2021-02-16,70,NA,NA
2021-02-17,52,NA,NA
2021-02-18,74,NA,NA
2021-02-19,75,NA,NA
2021-02-20,48,NA,NA
2021-02-21,47,NA,NA
2021-02-22,63,NA,NA
2021-02-23,56,NA,NA
2021-02-24,58,NA,NA
2021-02-25,44,NA,NA
2021-02-26,55,NA,NA
2021-02-27,31,NA,NA
2021-02-28,39,NA,NA
2021-03-01,40,NA,NA
2021-03-02,48,NA,NA
2021-03-03,37,NA,NA
2021-03-04,43,NA,NA
2021-03-05,26,NA,NA
2021-03-06,39,NA,NA
2021-03-07,44,NA,NA
2021-03-08,27,NA,NA
2021-03-09,48,NA,NA
2021-03-10,44,NA,NA
2021-03-11,39,NA,NA
2021-03-12,45,NA,NA
2021-03-13,46,NA,NA
2021-03-14,26,NA,NA
2021-03-15,54,NA,NA
2021-03-16,42,NA,NA
2021-03-17,50,NA,NA
2021-03-18,38,NA,NA
2021-03-19,38,NA,NA
2021-03-20,54,NA,NA
2021-03-21,16,NA,NA
2021-03-22,52,NA,NA
2021-03-23,50,NA,NA
2021-03-24,50,NA,NA
2021-03-25,76,NA,NA
2021-03-26,42,NA,NA
2021-03-27,29,NA,NA
2021-03-28,65,NA,NA
2021-03-29,62,NA,NA
2021-03-30,67,NA,NA
2021-03-31,64,NA,NA
2021-04-01,55,NA,NA
2021-04-02,73,NA,NA
2021-04-03,60,NA,NA
2021-04-04,40,NA,NA
2021-04-05,57,NA,NA
2021-04-06,66,NA,NA
2021-04-07,62,NA,NA
2021-04-08,101,NA,NA
2021-04-09,56,NA,NA
2021-04-10,92,NA,NA
2021-04-11,88,NA,NA
2021-04-12,105,NA,NA
2021-04-13,79,NA,NA
2021-04-14,66,NA,NA
2021-04-15,134,NA,NA
2021-04-16,102,NA,NA
2021-04-17,88,NA,NA
2021-04-18,119,NA,NA
2021-04-19,112,NA,NA
2021-04-20,90,NA,NA
2021-04-21,107,NA,NA
2021-04-22,119,NA,NA
2021-04-23,157,NA,NA
2021-04-24,77,NA,NA
2021-04-25,72,NA,NA
2021-04-26,132,NA,NA
2021-04-27,89,NA,NA
2021-04-28,100,NA,NA
2021-04-29,135,NA,NA
2021-04-30,112,NA,NA
2021-05-01,74,NA,NA
2021-05-02,111,NA,NA
2021-05-03,83,NA,NA
2021-05-04,70,NA,NA
2021-05-05,69,NA,NA
2021-05-06,71,NA,NA
2021-05-07,50,NA,NA
2021-05-08,52,NA,NA
2021-05-09,30,NA,NA
2021-05-10,51,NA,NA
2021-05-11,46,NA,NA
2021-05-12,47,NA,NA
2021-05-13,47,NA,NA
2021-05-14,21,NA,NA
2021-05-15,28,NA,NA
2021-05-16,26,NA,NA
2021-05-17,40,NA,NA
2021-05-18,39,NA,NA
2021-05-19,26,NA,NA
2021-05-20,30,NA,NA
2021-05-21,51,NA,NA
2021-05-22,25,NA,NA
2021-05-23,20,NA,NA
2021-05-24,43,NA,NA
2021-05-25,32,NA,NA
2021-05-26,49,NA,NA
2021-05-27,43,NA,NA
2021-05-28,19,NA,NA
2021-05-29,34,NA,NA
2021-05-30,37,NA,NA
2021-05-31,33,NA,NA
2021-06-01,2.6090133678562637,-14.958110306398769,20.176137042111296
2021-06-02,-1.3225571926348252,-19.875070549445123,17.229956164175473
2021-06-03,-5.322966905564954,-24.902333953128544,14.256400141998636
2021-06-04,-9.391287017308791,-30.038485901883654,11.255911867266072
2021-06-05,-13.526627131993244,-35.28221737492339,8.228963110936903
2021-06-06,-17.728133427303682,-40.632317015387216,5.176050160779855
2021-06-07,-21.994986950392033,-46.08766326096587,2.0976893601818034
2021-06-08,-26.32640199213504,-51.64721677823116,-1.0055872060389177
2021-06-09,-30.72162453760984,-57.31001334190274,-4.133235733316944
2021-06-10,-35.17993079038945,-63.075157230886205,-7.284704349892696
2021-06-11,-39.700625768053385,-68.94181516660957,-10.459436369497197
2021-06-12,-44.2830419661987,-74.909210789424165,-13.65687314297324
2021-06-13,-48.92653808815545,-80.97661965059663,-16.876456525714275
2021-06-14,-53.63049783758909,-87.14336468710113,-20.117630988077046
